profile pic,nums/length username,fullname words,nums/length fullname,name==username,description length,external URL,private,posts,followers,follows,fake,followers_to_follows_ratio,posts_to_followers_ratio,posts_to_follows_ratio,desc_to_fullname_ratio,username_to_fullname_ratio
1,0.27,0,0.0,0,53,0,0,32,1000,955,0,1.0471204188481675,0.032,0.033507853403141365,,
1,0.0,2,0.0,0,44,0,0,286,2740,533,0,5.140712945590995,0.10437956204379562,0.5365853658536586,,
1,0.1,2,0.0,0,0,0,1,13,159,98,0,1.6224489795918366,0.08176100628930817,0.1326530612244898,,
1,0.0,1,0.0,0,82,0,0,679,414,651,0,0.6359447004608295,1.6400966183574879,1.043010752688172,,
1,0.0,2,0.0,0,0,0,1,6,151,126,0,1.1984126984126984,0.039735099337748346,0.047619047619047616,,
1,0.0,4,0.0,0,81,1,0,344,669987,150,0,4466.58,0.0005134427981438445,2.2933333333333334,,
1,0.0,2,0.0,0,50,0,0,16,122,177,0,0.6892655367231638,0.13114754098360656,0.0903954802259887,,
1,0.0,2,0.0,0,0,0,0,33,1078,76,0,14.18421052631579,0.030612244897959183,0.4342105263157895,,
1,0.0,0,0.0,0,71,0,0,72,1824,2713,0,0.6723184666420936,0.039473684210526314,0.026538886841135274,,
1,0.0,2,0.0,0,40,1,0,213,12945,813,0,15.92250922509225,0.01645422943221321,0.26199261992619927,,
1,0.0,2,0.0,0,54,0,0,648,9884,1173,0,8.42625745950554,0.06556050182112505,0.5524296675191815,,
1,0.0,2,0.0,0,54,1,0,76,1188,365,0,3.254794520547945,0.06397306397306397,0.20821917808219179,,
1,0.0,2,0.0,0,0,1,0,298,945,583,0,1.620926243567753,0.31534391534391537,0.5111492281303602,,
1,0.0,2,0.0,0,103,1,0,117,12033,248,0,48.520161290322584,0.009723261032161555,0.4717741935483871,,
1,0.0,2,0.0,0,98,1,0,487,1962,2701,0,0.7263976305072195,0.24821610601427116,0.18030359126249537,,
1,0.0,3,0.0,0,46,0,0,254,50374,900,0,55.971111111111114,0.005042283717790924,0.2822222222222222,,
1,0.0,3,0.0,0,0,0,0,59,7007,289,0,24.24567474048443,0.008420151277294135,0.2041522491349481,,
1,0.29,3,0.0,0,48,0,0,1570,1128,694,0,1.6253602305475505,1.3918439716312057,2.2622478386167146,,
1,0.0,2,0.0,0,63,1,0,378,34670,1878,0,18.461128860489882,0.010902797807903087,0.2012779552715655,,
1,0.0,2,0.0,0,106,1,0,526,2338,776,0,3.0128865979381443,0.2249786142001711,0.6778350515463918,,
1,0.0,2,0.0,0,40,0,0,228,3516,999,0,3.5195195195195197,0.06484641638225255,0.22822822822822822,,
1,0.0,1,0.0,0,35,1,1,35,1809,416,0,4.3485576923076925,0.019347705914870093,0.08413461538461539,,
1,0.0,2,0.0,0,30,0,0,281,427,470,0,0.9085106382978724,0.65807962529274,0.597872340425532,,
1,0.0,1,0.0,0,27,0,0,285,759,956,0,0.7939330543933054,0.37549407114624506,0.29811715481171547,,
1,0.0,0,0.0,0,0,0,0,148,15338538,61,0,251451.44262295082,9.648898741196848e-06,2.4262295081967213,,
1,0.0,1,0.0,0,109,1,1,57,109,179,0,0.6089385474860335,0.5229357798165137,0.31843575418994413,,
1,0.0,6,0.0,0,0,0,1,17,536,665,0,0.806015037593985,0.03171641791044776,0.02556390977443609,,
1,0.0,2,0.0,0,132,1,0,511,121354,176,0,689.5113636363636,0.0042108212337459,2.903409090909091,,
1,0.0,2,0.0,0,126,1,0,230,2284,130,0,17.56923076923077,0.10070052539404553,1.7692307692307692,,
1,0.0,2,0.0,0,122,0,1,15,186,174,0,1.0689655172413792,0.08064516129032258,0.08620689655172414,,
1,0.0,2,0.0,0,138,0,1,980,687,1517,0,0.45286750164798945,1.4264919941775838,0.6460118655240606,,
1,0.13,0,0.0,0,0,0,1,53,966,952,0,1.0147058823529411,0.054865424430641824,0.05567226890756303,,
1,0.0,2,0.0,0,50,0,1,111,177,170,0,1.0411764705882354,0.6271186440677966,0.6529411764705882,,
1,0.0,2,0.0,0,35,0,0,719,744,967,0,0.7693898655635988,0.9663978494623656,0.7435367114788004,,
1,0.0,2,0.0,0,56,1,0,1164,542073,674,0,804.2626112759644,0.0021473122623705664,1.7270029673590503,,
1,0.18,2,0.0,0,9,0,0,497,5315651,2703,0,1966.574546799852,9.349748506815063e-05,0.18386977432482426,,
1,0.33,0,0.0,0,0,0,1,18,267,328,0,0.8140243902439024,0.06741573033707865,0.054878048780487805,,
1,0.0,2,0.0,0,81,0,0,50,691,680,0,1.0161764705882352,0.0723589001447178,0.07352941176470588,,
1,0.0,2,0.0,0,134,0,1,74,120,112,0,1.0714285714285714,0.6166666666666667,0.6607142857142857,,
1,0.0,2,0.0,0,0,0,0,8,105,98,0,1.0714285714285714,0.0761904761904762,0.08163265306122448,,
1,0.0,0,0.0,0,2,0,0,7389,890969,11,0,80997.18181818182,0.008293217833617106,671.7272727272727,,
1,0.0,2,0.0,0,0,1,0,420,361853,583,0,620.6740994854202,0.0011606923253365316,0.7204116638078902,,
1,0.0,2,0.0,0,23,0,0,433,3678,1359,0,2.706401766004415,0.11772702555736814,0.318616629874908,,
1,0.0,2,0.0,0,138,1,0,156,92192,16,0,5762.0,0.001692120791391878,9.75,,
1,0.0,4,0.0,0,35,0,0,4494,12397719,8,0,1549714.875,0.00036248603472945306,561.75,,
1,0.0,3,0.0,0,93,0,0,751,380510,0,0,,0.0019736669207116764,,,
1,0.0,2,0.0,0,4,0,1,4,132,183,0,0.7213114754098361,0.030303030303030304,0.02185792349726776,,
1,0.0,2,0.0,0,1,0,1,27,162,208,0,0.7788461538461539,0.16666666666666666,0.12980769230769232,,
1,0.0,1,0.0,0,4,0,0,91,369,546,0,0.6758241758241759,0.24661246612466126,0.16666666666666666,,
1,0.0,0,0.0,0,23,0,0,262,1476,666,0,2.2162162162162162,0.17750677506775067,0.3933933933933934,,
1,0.0,3,0.0,0,91,1,0,274,1798,461,0,3.9002169197396963,0.15239154616240266,0.5943600867678959,,
1,0.0,2,0.0,0,57,0,0,271,2118,1109,0,1.909828674481515,0.1279508970727101,0.24436429215509467,,
1,0.0,1,0.0,0,108,1,0,713,812,432,0,1.8796296296296295,0.8780788177339901,1.650462962962963,,
1,0.0,2,0.12,0,30,1,0,200,7217,761,0,9.483574244415243,0.02771234585007621,0.2628120893561104,250.0,0.0
1,0.0,0,0.0,0,82,0,0,12,313,376,0,0.8324468085106383,0.038338658146964855,0.031914893617021274,,
